Country Name,Country Code,Indicator Name,Indicator Code,2019
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652230
Africa Eastern and Southern,AFE,Land area (sq. km),AG.LND.TOTL.K2,14845162.4
Africa Western and Central,AFW,Land area (sq. km),AG.LND.TOTL.K2,9045780
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400
Algeria,DZA,Land area (sq. km),AG.LND.TOTL.K2,2381741
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,200
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,470
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,1246700
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,440
Arab World,ARB,Land area (sq. km),AG.LND.TOTL.K2,13100547
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,2736690
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,28470
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,180
Australia,AUS,Land area (sq. km),AG.LND.TOTL.K2,7692020
Austria,AUT,Land area (sq. km),AG.LND.TOTL.K2,82520
Azerbaijan,AZE,Land area (sq. km),AG.LND.TOTL.K2,82654
"Bahamas, The",BHS,Land area (sq. km),AG.LND.TOTL.K2,10010
Bahrain,BHR,Land area (sq. km),AG.LND.TOTL.K2,783
Bangladesh,BGD,Land area (sq. km),AG.LND.TOTL.K2,130170
Barbados,BRB,Land area (sq. km),AG.LND.TOTL.K2,430
Belarus,BLR,Land area (sq. km),AG.LND.TOTL.K2,202965
Belgium,BEL,Land area (sq. km),AG.LND.TOTL.K2,30280
Belize,BLZ,Land area (sq. km),AG.LND.TOTL.K2,22810
Benin,BEN,Land area (sq. km),AG.LND.TOTL.K2,112760
Bermuda,BMU,Land area (sq. km),AG.LND.TOTL.K2,54
Bhutan,BTN,Land area (sq. km),AG.LND.TOTL.K2,38140
Bolivia,BOL,Land area (sq. km),AG.LND.TOTL.K2,1083300
Bosnia and Herzegovina,BIH,Land area (sq. km),AG.LND.TOTL.K2,51200
Botswana,BWA,Land area (sq. km),AG.LND.TOTL.K2,566730
Brazil,BRA,Land area (sq. km),AG.LND.TOTL.K2,8358140
British Virgin Islands,VGB,Land area (sq. km),AG.LND.TOTL.K2,150
Brunei Darussalam,BRN,Land area (sq. km),AG.LND.TOTL.K2,5270
Bulgaria,BGR,Land area (sq. km),AG.LND.TOTL.K2,108560
Burkina Faso,BFA,Land area (sq. km),AG.LND.TOTL.K2,273600
Burundi,BDI,Land area (sq. km),AG.LND.TOTL.K2,25680
Cabo Verde,CPV,Land area (sq. km),AG.LND.TOTL.K2,4030
Cambodia,KHM,Land area (sq. km),AG.LND.TOTL.K2,176520
Cameroon,CMR,Land area (sq. km),AG.LND.TOTL.K2,472710
Canada,CAN,Land area (sq. km),AG.LND.TOTL.K2,8965590
Caribbean small states,CSS,Land area (sq. km),AG.LND.TOTL.K2,404850
Cayman Islands,CYM,Land area (sq. km),AG.LND.TOTL.K2,240
Central African Republic,CAF,Land area (sq. km),AG.LND.TOTL.K2,622980
Central Europe and the Baltics,CEB,Land area (sq. km),AG.LND.TOTL.K2,1104992.9
Chad,TCD,Land area (sq. km),AG.LND.TOTL.K2,1259200
Channel Islands,CHI,Land area (sq. km),AG.LND.TOTL.K2,
Chile,CHL,Land area (sq. km),AG.LND.TOTL.K2,743532
China,CHN,Land area (sq. km),AG.LND.TOTL.K2,9424702.9
Colombia,COL,Land area (sq. km),AG.LND.TOTL.K2,1109500
Comoros,COM,Land area (sq. km),AG.LND.TOTL.K2,1861
"Congo, Dem. Rep.",COD,Land area (sq. km),AG.LND.TOTL.K2,2267050
"Congo, Rep.",COG,Land area (sq. km),AG.LND.TOTL.K2,341500
Costa Rica,CRI,Land area (sq. km),AG.LND.TOTL.K2,51060
Cote d'Ivoire,CIV,Land area (sq. km),AG.LND.TOTL.K2,318000
Croatia,HRV,Land area (sq. km),AG.LND.TOTL.K2,55964
Cuba,CUB,Land area (sq. km),AG.LND.TOTL.K2,103800
Curacao,CUW,Land area (sq. km),AG.LND.TOTL.K2,444
Cyprus,CYP,Land area (sq. km),AG.LND.TOTL.K2,9240
Czechia,CZE,Land area (sq. km),AG.LND.TOTL.K2,77205.5
Denmark,DNK,Land area (sq. km),AG.LND.TOTL.K2,40000
Djibouti,DJI,Land area (sq. km),AG.LND.TOTL.K2,23180
Dominica,DMA,Land area (sq. km),AG.LND.TOTL.K2,750
Dominican Republic,DOM,Land area (sq. km),AG.LND.TOTL.K2,48310
Early-demographic dividend,EAR,Land area (sq. km),AG.LND.TOTL.K2,33310592.86
East Asia & Pacific,EAS,Land area (sq. km),AG.LND.TOTL.K2,24505688.8
East Asia & Pacific (excluding high income),EAP,Land area (sq. km),AG.LND.TOTL.K2,16023008.9
East Asia & Pacific (IDA & IBRD countries),TEA,Land area (sq. km),AG.LND.TOTL.K2,15902418.9
Ecuador,ECU,Land area (sq. km),AG.LND.TOTL.K2,248360
"Egypt, Arab Rep.",EGY,Land area (sq. km),AG.LND.TOTL.K2,995450
El Salvador,SLV,Land area (sq. km),AG.LND.TOTL.K2,20720
Equatorial Guinea,GNQ,Land area (sq. km),AG.LND.TOTL.K2,28050
Eritrea,ERI,Land area (sq. km),AG.LND.TOTL.K2,121080.546
Estonia,EST,Land area (sq. km),AG.LND.TOTL.K2,42750
Eswatini,SWZ,Land area (sq. km),AG.LND.TOTL.K2,17200
Ethiopia,ETH,Land area (sq. km),AG.LND.TOTL.K2,1128570.858
Euro area,EMU,Land area (sq. km),AG.LND.TOTL.K2,2679977.496
Europe & Central Asia,ECS,Land area (sq. km),AG.LND.TOTL.K2,27444478.54
Europe & Central Asia (excluding high income),ECA,Land area (sq. km),AG.LND.TOTL.K2,22396429.9
Europe & Central Asia (IDA & IBRD countries),TEC,Land area (sq. km),AG.LND.TOTL.K2,22988583.9
European Union,EUU,Land area (sq. km),AG.LND.TOTL.K2,3996440.586
Faroe Islands,FRO,Land area (sq. km),AG.LND.TOTL.K2,1396
Fiji,FJI,Land area (sq. km),AG.LND.TOTL.K2,18270
Finland,FIN,Land area (sq. km),AG.LND.TOTL.K2,303930
Fragile and conflict affected situations,FCS,Land area (sq. km),AG.LND.TOTL.K2,20452600.4
France,FRA,Land area (sq. km),AG.LND.TOTL.K2,547557
French Polynesia,PYF,Land area (sq. km),AG.LND.TOTL.K2,3471
Gabon,GAB,Land area (sq. km),AG.LND.TOTL.K2,257670
"Gambia, The",GMB,Land area (sq. km),AG.LND.TOTL.K2,10120
Georgia,GEO,Land area (sq. km),AG.LND.TOTL.K2,69490
Germany,DEU,Land area (sq. km),AG.LND.TOTL.K2,349390
Ghana,GHA,Land area (sq. km),AG.LND.TOTL.K2,227540
Gibraltar,GIB,Land area (sq. km),AG.LND.TOTL.K2,10
Greece,GRC,Land area (sq. km),AG.LND.TOTL.K2,128900
Greenland,GRL,Land area (sq. km),AG.LND.TOTL.K2,410450
Grenada,GRD,Land area (sq. km),AG.LND.TOTL.K2,340
Guam,GUM,Land area (sq. km),AG.LND.TOTL.K2,540
Guatemala,GTM,Land area (sq. km),AG.LND.TOTL.K2,107160
Guinea,GIN,Land area (sq. km),AG.LND.TOTL.K2,245720
Guinea-Bissau,GNB,Land area (sq. km),AG.LND.TOTL.K2,28120
Guyana,GUY,Land area (sq. km),AG.LND.TOTL.K2,196850
Haiti,HTI,Land area (sq. km),AG.LND.TOTL.K2,27560
Heavily indebted poor countries (HIPC),HPC,Land area (sq. km),AG.LND.TOTL.K2,19394812.4
High income,HIC,Land area (sq. km),AG.LND.TOTL.K2,35246785.54
Honduras,HND,Land area (sq. km),AG.LND.TOTL.K2,111890
"Hong Kong SAR, China",HKG,Land area (sq. km),AG.LND.TOTL.K2,1050
Hungary,HUN,Land area (sq. km),AG.LND.TOTL.K2,91260
IBRD only,IBD,Land area (sq. km),AG.LND.TOTL.K2,71067497.27
Iceland,ISL,Land area (sq. km),AG.LND.TOTL.K2,100830
IDA & IBRD total,IBT,Land area (sq. km),AG.LND.TOTL.K2,96094364.67
IDA blend,IDB,Land area (sq. km),AG.LND.TOTL.K2,4384525
IDA only,IDX,Land area (sq. km),AG.LND.TOTL.K2,20642342.4
IDA total,IDA,Land area (sq. km),AG.LND.TOTL.K2,25026867.4
India,IND,Land area (sq. km),AG.LND.TOTL.K2,2973190
Indonesia,IDN,Land area (sq. km),AG.LND.TOTL.K2,1877519
"Iran, Islamic Rep.",IRN,Land area (sq. km),AG.LND.TOTL.K2,1622500
Iraq,IRQ,Land area (sq. km),AG.LND.TOTL.K2,434128
Ireland,IRL,Land area (sq. km),AG.LND.TOTL.K2,68890
Isle of Man,IMN,Land area (sq. km),AG.LND.TOTL.K2,570
Israel,ISR,Land area (sq. km),AG.LND.TOTL.K2,21640
Italy,ITA,Land area (sq. km),AG.LND.TOTL.K2,295717
Jamaica,JAM,Land area (sq. km),AG.LND.TOTL.K2,10830
Japan,JPN,Land area (sq. km),AG.LND.TOTL.K2,364500
Jordan,JOR,Land area (sq. km),AG.LND.TOTL.K2,88794
Kazakhstan,KAZ,Land area (sq. km),AG.LND.TOTL.K2,2699700
Kenya,KEN,Land area (sq. km),AG.LND.TOTL.K2,569140
Kiribati,KIR,Land area (sq. km),AG.LND.TOTL.K2,810
"Korea, Dem. People's Rep.",PRK,Land area (sq. km),AG.LND.TOTL.K2,120410
"Korea, Rep.",KOR,Land area (sq. km),AG.LND.TOTL.K2,97600
Kosovo,XKX,Land area (sq. km),AG.LND.TOTL.K2,
Kuwait,KWT,Land area (sq. km),AG.LND.TOTL.K2,17820
Kyrgyz Republic,KGZ,Land area (sq. km),AG.LND.TOTL.K2,191800
Lao PDR,LAO,Land area (sq. km),AG.LND.TOTL.K2,230800
Late-demographic dividend,LTE,Land area (sq. km),AG.LND.TOTL.K2,44561224.27
Latin America & Caribbean,LCN,Land area (sq. km),AG.LND.TOTL.K2,20038980
Latin America & Caribbean (excluding high income),LAC,Land area (sq. km),AG.LND.TOTL.K2,18136660
Latin America & the Caribbean (IDA & IBRD countries),TLA,Land area (sq. km),AG.LND.TOTL.K2,19913472
Latvia,LVA,Land area (sq. km),AG.LND.TOTL.K2,62227
Least developed countries: UN classification,LDC,Land area (sq. km),AG.LND.TOTL.K2,20398202.4
Lebanon,LBN,Land area (sq. km),AG.LND.TOTL.K2,10230
Lesotho,LSO,Land area (sq. km),AG.LND.TOTL.K2,30360
Liberia,LBR,Land area (sq. km),AG.LND.TOTL.K2,96320
Libya,LBY,Land area (sq. km),AG.LND.TOTL.K2,1759540
Liechtenstein,LIE,Land area (sq. km),AG.LND.TOTL.K2,160
Lithuania,LTU,Land area (sq. km),AG.LND.TOTL.K2,62620
Low & middle income,LMY,Land area (sq. km),AG.LND.TOTL.K2,93851548.67
Low income,LIC,Land area (sq. km),AG.LND.TOTL.K2,15734451.4
Lower middle income,LMC,Land area (sq. km),AG.LND.TOTL.K2,24840737.47
Luxembourg,LUX,Land area (sq. km),AG.LND.TOTL.K2,2574.46
"Macao SAR, China",MAC,Land area (sq. km),AG.LND.TOTL.K2,32.9
Madagascar,MDG,Land area (sq. km),AG.LND.TOTL.K2,581800
Malawi,MWI,Land area (sq. km),AG.LND.TOTL.K2,94280
Malaysia,MYS,Land area (sq. km),AG.LND.TOTL.K2,328550
Maldives,MDV,Land area (sq. km),AG.LND.TOTL.K2,300
Mali,MLI,Land area (sq. km),AG.LND.TOTL.K2,1220190
Malta,MLT,Land area (sq. km),AG.LND.TOTL.K2,320
Marshall Islands,MHL,Land area (sq. km),AG.LND.TOTL.K2,180
Mauritania,MRT,Land area (sq. km),AG.LND.TOTL.K2,1030700
Mauritius,MUS,Land area (sq. km),AG.LND.TOTL.K2,2030
Mexico,MEX,Land area (sq. km),AG.LND.TOTL.K2,1943950
"Micronesia, Fed. Sts.",FSM,Land area (sq. km),AG.LND.TOTL.K2,700
Middle East & North Africa,MEA,Land area (sq. km),AG.LND.TOTL.K2,11217106
Middle East & North Africa (excluding high income),MNA,Land area (sq. km),AG.LND.TOTL.K2,8634843
Middle East & North Africa (IDA & IBRD countries),TMN,Land area (sq. km),AG.LND.TOTL.K2,8628823
Middle income,MIC,Land area (sq. km),AG.LND.TOTL.K2,78117097.27
Moldova,MDA,Land area (sq. km),AG.LND.TOTL.K2,32885.9
Monaco,MCO,Land area (sq. km),AG.LND.TOTL.K2,2.027
Mongolia,MNG,Land area (sq. km),AG.LND.TOTL.K2,1557258
Montenegro,MNE,Land area (sq. km),AG.LND.TOTL.K2,13450
Morocco,MAR,Land area (sq. km),AG.LND.TOTL.K2,446300
Mozambique,MOZ,Land area (sq. km),AG.LND.TOTL.K2,786380
Myanmar,MMR,Land area (sq. km),AG.LND.TOTL.K2,652700
Namibia,NAM,Land area (sq. km),AG.LND.TOTL.K2,823290
Nauru,NRU,Land area (sq. km),AG.LND.TOTL.K2,20
Nepal,NPL,Land area (sq. km),AG.LND.TOTL.K2,143350
Netherlands,NLD,Land area (sq. km),AG.LND.TOTL.K2,33670
New Caledonia,NCL,Land area (sq. km),AG.LND.TOTL.K2,18280
New Zealand,NZL,Land area (sq. km),AG.LND.TOTL.K2,263310
Nicaragua,NIC,Land area (sq. km),AG.LND.TOTL.K2,120340
Niger,NER,Land area (sq. km),AG.LND.TOTL.K2,1266700
Nigeria,NGA,Land area (sq. km),AG.LND.TOTL.K2,910770
North America,NAC,Land area (sq. km),AG.LND.TOTL.K2,18113064
North Macedonia,MKD,Land area (sq. km),AG.LND.TOTL.K2,25220
Northern Mariana Islands,MNP,Land area (sq. km),AG.LND.TOTL.K2,460
Norway,NOR,Land area (sq. km),AG.LND.TOTL.K2,365094
Not classified,INX,Land area (sq. km),AG.LND.TOTL.K2,
OECD members,OED,Land area (sq. km),AG.LND.TOTL.K2,35509398.62
Oman,OMN,Land area (sq. km),AG.LND.TOTL.K2,309500
Other small states,OSS,Land area (sq. km),AG.LND.TOTL.K2,2031564
Pacific island small states,PSS,Land area (sq. km),AG.LND.TOTL.K2,64150
Pakistan,PAK,Land area (sq. km),AG.LND.TOTL.K2,770880
Palau,PLW,Land area (sq. km),AG.LND.TOTL.K2,460
Panama,PAN,Land area (sq. km),AG.LND.TOTL.K2,74180
Papua New Guinea,PNG,Land area (sq. km),AG.LND.TOTL.K2,452860
Paraguay,PRY,Land area (sq. km),AG.LND.TOTL.K2,397300
Peru,PER,Land area (sq. km),AG.LND.TOTL.K2,1280000
Philippines,PHL,Land area (sq. km),AG.LND.TOTL.K2,298170
Poland,POL,Land area (sq. km),AG.LND.TOTL.K2,306110
Portugal,PRT,Land area (sq. km),AG.LND.TOTL.K2,91605.6
Post-demographic dividend,PST,Land area (sq. km),AG.LND.TOTL.K2,31346077.52
Pre-demographic dividend,PRE,Land area (sq. km),AG.LND.TOTL.K2,20308719.55
Puerto Rico,PRI,Land area (sq. km),AG.LND.TOTL.K2,8870
Qatar,QAT,Land area (sq. km),AG.LND.TOTL.K2,11490
Romania,ROU,Land area (sq. km),AG.LND.TOTL.K2,230080
Russian Federation,RUS,Land area (sq. km),AG.LND.TOTL.K2,16376870
Rwanda,RWA,Land area (sq. km),AG.LND.TOTL.K2,24670
Samoa,WSM,Land area (sq. km),AG.LND.TOTL.K2,2780
San Marino,SMR,Land area (sq. km),AG.LND.TOTL.K2,60
Sao Tome and Principe,STP,Land area (sq. km),AG.LND.TOTL.K2,960
Saudi Arabia,SAU,Land area (sq. km),AG.LND.TOTL.K2,2149690
Senegal,SEN,Land area (sq. km),AG.LND.TOTL.K2,192530
Serbia,SRB,Land area (sq. km),AG.LND.TOTL.K2,87460
Seychelles,SYC,Land area (sq. km),AG.LND.TOTL.K2,460
Sierra Leone,SLE,Land area (sq. km),AG.LND.TOTL.K2,72180
Singapore,SGP,Land area (sq. km),AG.LND.TOTL.K2,716
Sint Maarten (Dutch part),SXM,Land area (sq. km),AG.LND.TOTL.K2,34
Slovak Republic,SVK,Land area (sq. km),AG.LND.TOTL.K2,48080
Slovenia,SVN,Land area (sq. km),AG.LND.TOTL.K2,20136.4
Small states,SST,Land area (sq. km),AG.LND.TOTL.K2,2500564
Solomon Islands,SLB,Land area (sq. km),AG.LND.TOTL.K2,27990
Somalia,SOM,Land area (sq. km),AG.LND.TOTL.K2,627340
South Africa,ZAF,Land area (sq. km),AG.LND.TOTL.K2,1213090
South Asia,SAS,Land area (sq. km),AG.LND.TOTL.K2,4770124.47
South Asia (IDA & IBRD),TSA,Land area (sq. km),AG.LND.TOTL.K2,4770124.47
South Sudan,SSD,Land area (sq. km),AG.LND.TOTL.K2,631930
Spain,ESP,Land area (sq. km),AG.LND.TOTL.K2,499570.036
Sri Lanka,LKA,Land area (sq. km),AG.LND.TOTL.K2,61864.47
St. Kitts and Nevis,KNA,Land area (sq. km),AG.LND.TOTL.K2,260
