Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","004","Afghanistan","5610","Import Quantity","F1944","Cereals","2019","2019","tonnes","682433","E","Estimated value"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import Quantity","F1944","Cereals","2020","2020","tonnes","897723","E","Estimated value"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export Quantity","F1944","Cereals","2019","2019","tonnes","12939","E","Estimated value"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export Quantity","F1944","Cereals","2020","2020","tonnes","9041","E","Estimated value"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","F1944","Cereals","2019","2019","tonnes","356140","E","Estimated value"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","F1944","Cereals","2020","2020","tonnes","343876","E","Estimated value"
"TCL","Crops and livestock products","008","Albania","5910","Export Quantity","F1944","Cereals","2019","2019","tonnes","18","E","Estimated value"
"TCL","Crops and livestock products","012","Algeria","5610","Import Quantity","F1944","Cereals","2019","2019","tonnes","11385668","E","Estimated value"
"TCL","Crops and livestock products","012","Algeria","5610","Import Quantity","F1944","Cereals","2020","2020","tonnes","13071269","E","Estimated value"
"TCL","Crops and livestock products","012","Algeria","5910","Export Quantity","F1944","Cereals","2019","2019","tonnes","328","E","Estimated value"
"TCL","Crops and livestock products","012","Algeria","5910","Export Quantity","F1944","Cereals","2020","2020","tonnes","571","E","Estimated value"
"TCL","Crops and livestock products","024","Angola","5610","Import Quantity","F1944","Cereals","2019","2019","tonnes","828554","E","Estimated value"
"TCL","Crops and livestock products","024","Angola","5610","Import Quantity","F1944","Cereals","2020","2020","tonnes","1121673","E","Estimated value"
"TCL","Crops and livestock products","024","Angola","5910","Export Quantity","F1944","Cereals","2019","2019","tonnes","1978","E","Estimated value"
"TCL","Crops and livestock products","024","Angola","5910","Export Quantity","F1944","Cereals","2020","2020","tonnes","188","E","Estimated value"
"TCL","Crops and livestock products","028","Antigua and Barbuda","5610","Import Quantity","F1944","Cereals","2019","2019","tonnes","1618","E","Estimated value"
"TCL","Crops and livestock products","028","Antigua and Barbuda","5610","Import Quantity","F1944","Cereals","2020","2020","tonnes","3222","E","Estimated value"
"TCL","Crops and livestock products","028","Antigua and Barbuda","5910","Export Quantity","F1944","Cereals","2019","2019","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","028","Antigua and Barbuda","5910","Export Quantity","F1944","Cereals","2020","2020","tonnes","5105","E","Estimated value"
"TCL","Crops and livestock products","032","Argentina","5610","Import Quantity","F1944","Cereals","2019","2019","tonnes","24868","E","Estimated value"
"TCL","Crops and livestock products","032","Argentina","5610","Import Quantity","F1944","Cereals","2020","2020","tonnes","30632","E","Estimated value"
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","F1944","Cereals","2019","2019","tonnes","49811872","E","Estimated value"
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","F1944","Cereals","2020","2020","tonnes","50128705","E","Estimated value"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","F1944","Cereals","2019","2019","tonnes","349661","E","Estimated value"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","F1944","Cereals","2020","2020","tonnes","458637","E","Estimated value"
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","F1944","Cereals","2019","2019","tonnes","18","E","Estimated value"
