Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2019-0073-BOL,2019,0073,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Chuquisaca, La Paz, Potos�, Oruro, Cochabamba, Tarija, Pando, Beni, Santa Cruz departments","Heavy rain and thunderstorms, El Nino",Storm,"Slide (land, mud, snow, rock)",,,Yes,,,Km2,,,,,2019,2,24,2019,4,10,60,,335540,,335540,,,,,,,94.3490925,1,40444;40446;40448,,"Chuquisaca, La Paz, Potosi (Adm1)."
2019-0050-AFG,2019,0050,,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,Kohistan district (Badakhshan province),,Industrial accidents,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2019,1,6,2019,1,6,30,,,,,,,,,,,94.3490925,2,,100002,Kohestan (Adm2).
2019-0216-AFG,2019,0216,,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,"Kishim, Argo, Shahri Buzurg and Tishkan districts, Badakhshan province.",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2019,6,11,2019,6,11,3,,,,,,,,,,,94.3490925,2,,3454;100010;100012;100017,"Argo, Keshem, Shahr-e-Buzorg, Teshkan (Adm2)."
2019-0082-AFG,2019,0082,,Natural,Hydrological,Flood,,,,Afghanistan,AFG,Southern Asia,Asia,"Zheri, Dand,Damand, Arghandab, Spinboldak,Takhtapu, Panjwai, Boldack, Shah Wali Kot Districts (Kandahar province); Shandand district (Herat province); Ab Kamari; Bala Murghab, Jawand, Qala-e-Naw distrits (Farah province); Zaazi Aryoub district Marikhil village and Wazi Zadran district (Paktia province); Mandozai, Bak, Ali Shir, Sabri districts and Khost City (Khost province); Sayed Abaad, Daimir daad, Jalriz districts (Wardak province); Kunar, Zabul, Nimroz, provinces Chaparhaar District, Guldara Dowlatzai Village, Surkh Rood District, Bakhtaan Village, Angoor Bagh area of Jalal Abaad, Haska Mina district Dowlatkhil Village (Nangarhar province); Hilmand, Laghman provinces",,"Slide (land, mud, snow, rock)",,,,,,441236,Km2,31.991,67.078,,,2019,3,2,2019,3,,63,,122600,6500,129100,,,,,,,94.3490925,1,277;281;282;285;287;288;290;292;293;296;302;303,,"Farah, Hilmand, Hirat, Kandahar, Khost, Kunar, Laghman, Nangarhar, Nimroz, Paktya, Wardak, Zabul (Adm1)."
2019-0287-BIH,2019,0287,,Natural,Hydrological,Flood,,,,Bosnia and Herzegovina,BIH,Southern Europe,Europe,Tuzla,Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,27245,Km2,44.089,19.298,,,2019,6,1,2019,6,25,,,159,,159,,,,,,,94.3490925,2,,6317,Tuzla (Adm2).
2019-0100-BRA,2019,0100,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"S�o Paulo, S�o Bernardo do Campo, Ribeir�o Pires, Suzano (Sao Paulo)",Torrential rains,"Slide (land, mud, snow, rock)",,,,,,20310,Km2,-23.539,-46.124,,,2019,3,10,2019,3,11,12,6,1300,,1306,,,,,,,94.3490925,2,,11467;11525;11543;11566,"Ribeirao Pires, Sao Bernardo Do Campo, Sao Paulo, Suzano (Adm2)."
2019-0146-BRA,2019,0146,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Rio de Janeiro, Maranhao, Piaui, Sao Paulo states",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,,2019,4,8,2019,4,9,10,,4500,,4500,,,,,,,94.3490925,1,674;682;683;689,,"Maranhao, Piaui, Rio De Janeiro, Sao Paulo (Adm1)."
2019-0159-COL,2019,0159,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,"Antioquia, Nari�o, Cauca, Cundinamarca, Huila, Caldas, Caquet�",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2019,4,7,2019,4,15,14,,1647,,1647,,,,,,,94.3490925,1,935;941;942;944;948;952;955,,"Antioquia, Caldas, Caqueta, Cauca, Cundinamarca, Huila, Narino (Adm1)."
2019-0015-ESP,2019,0015,,Natural,Hydrological,Flood,Riverine flood,,,Spain,ESP,Southern Europe,Europe,Asturies,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,6802,Km2,43.284,-6.225,,Tineo,2019,1,22,2019,1,25,4,,,,,,,29000,30737,58000,61474,94.3490925,1,2718,,Principado de Asturias (Adm1).
2019-0171-CAN,2019,0171,,Natural,Hydrological,Flood,,,,Canada,CAN,Northern America,Americas,"Ontario, Nouveau-Brunswick, Quebec",Incresaing temperatures and heavy rains,Broken Dam/Burst bank,,,,,,,Km2,,,,"St Lawrence, St John rivers",2019,4,27,2019,5,5,1,,19500,,19500,,,210000,222578,800000,847915,94.3490925,1,828;833;835,,"New Brunswick / Nouveau-Brunswick, Ontario, Quebec / Qu�bec (Adm1)."
2019-0008-ARG,2019,0008,FL-2019-000009,Natural,Hydrological,Flood,,,,Argentina,ARG,South America,Americas,"Corrientes, Santiago del Estero, Chaco, Tucum�n, Santa Fe, Entre R�os provinces",Heavy rain,Storm,,,,,,,Km2,,,,,2019,1,11,2019,1,17,4,,31451,,31451,,,,,,,94.3490925,1,432;435;436;449;450;452,,"Chaco, Corrientes, Entre Rios, Santa Fe, Santiago Del Estero, Tucuman (Adm1)."
2019-0008-BRA,2019,0008,FL-2019-000009,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Alegrete, Santana da Boa Vista, Quara� , Bag� and Lavras do Sul Municipalities municipalities (Rio Grande do Sul State)",,Storm,,,,Yes,,,Km2,,,,,2019,1,11,2019,1,11,4,,10000,,10000,,,,,,,94.3490925,1,685,,Rio Grande Do Sul (Adm1).
2019-0301-ESP,2019,0301,,Natural,Hydrological,Flood,Flash flood,,,Spain,ESP,Southern Europe,Europe,"Tafalla, Ezprogui (Autonomous Community of Navarre)",Heavy rains,Storm,,,,Yes,,,Km2,,,,Cidacos River,2019,7,8,2019,7,8,1,,,,,,,,,,,94.3490925,1,2732,,Comunidad Foral de Navarra (Adm1).
2019-0084-AUS,2019,0084,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Australia,AUS,Australia and New Zealand,Oceania,Gippsland region (South-east Victoria state),Heat wave and lighthening,Heat wave,,,,,,,Km2,,,,,2019,3,1,2019,3,20,,,600,27,627,,,,,,,94.3490925,2,,5372;5414,"East Gippsland (S), South Gippsland (S) (Adm2)."
2019-0165-COM,2019,0165,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Kenneth',Comoros (the),COM,Eastern Africa,Africa,"Grande Comore, Moheli, Anjouan islands",,Flood,,Yes,Yes,,,185,Kph,,,,,2019,4,24,2019,4,25,8,180,345131,,345311,,,,,,,94.3490925,1,967;968;969,,"Anjouan, Moheli, Ngazidja (Adm1)."
2019-0283-ECU,2019,0283,,Natural,Hydrological,Landslide,Landslide,,,Ecuador,ECU,South America,Americas,"Banos de Agua Santa (Tungurahua province, central Ecuador); Juive Grande",Heavy rains,Flood,,,,,,,,,,,,2019,6,22,2019,6,22,2,,145,,145,,,,,,,94.3490925,2,,15523,Banos de Agua Santa (Adm2).
