Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","117.0798","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","322.5184","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","352.1759","E","Estimated value",""
"GT","Emissions Totals","020","Andorra","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","20.7124","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","188.521","E","Estimated value",""
"GT","Emissions Totals","660","Anguilla","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","3.6874","E","Estimated value",""
"GT","Emissions Totals","028","Antigua and Barbuda","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","3.4772","E","Estimated value",""
"GT","Emissions Totals","032","Argentina","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","12682.9759","E","Estimated value",""
"GT","Emissions Totals","051","Armenia","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","403.7964","E","Estimated value",""
"GT","Emissions Totals","533","Aruba","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","6.1952","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","7983.9912","E","Estimated value",""
"GT","Emissions Totals","040","Austria","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","894.4637","E","Estimated value",""
"GT","Emissions Totals","031","Azerbaijan","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","1179.6027","E","Estimated value",""
