Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","5583461","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","6025977","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","666065","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","684023","E","Estimated value"
"QCL","Crops and livestock products","012","Algeria","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","5633586","E","Estimated value"
"QCL","Crops and livestock products","012","Algeria","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","4393322","E","Estimated value"
"QCL","Crops and livestock products","024","Angola","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","2920433","E","Estimated value"
"QCL","Crops and livestock products","024","Angola","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","2427955","E","Estimated value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","48","E","Estimated value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","11","E","Estimated value"
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","84534610","E","Estimated value"
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","86573396","E","Estimated value"
"QCL","Crops and livestock products","051","Armenia","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","195063","E","Estimated value"
"QCL","Crops and livestock products","051","Armenia","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","242012","E","Estimated value"
"QCL","Crops and livestock products","036","Australia","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","29236374","E","Estimated value"
"QCL","Crops and livestock products","036","Australia","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","26613793","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","5399310","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","5649770","E","Estimated value"
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","3416765","E","Estimated value"
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","3151182","E","Estimated value"
"QCL","Crops and livestock products","044","Bahamas","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","647","E","Estimated value"
"QCL","Crops and livestock products","044","Bahamas","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","643","E","Estimated value"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","59182139","E","Estimated value"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","59960399","E","Estimated value"
"QCL","Crops and livestock products","052","Barbados","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","42","E","Estimated value"
"QCL","Crops and livestock products","052","Barbados","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","12","E","Estimated value"
"QCL","Crops and livestock products","112","Belarus","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","6991979","E","Estimated value"
"QCL","Crops and livestock products","112","Belarus","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","8403688","E","Estimated value"
"QCL","Crops and livestock products","056","Belgium","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","2814390","E","Estimated value"
"QCL","Crops and livestock products","056","Belgium","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","2565860","E","Estimated value"
"QCL","Crops and livestock products","084","Belize","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","85114","E","Estimated value"
"QCL","Crops and livestock products","084","Belize","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","112007","E","Estimated value"
"QCL","Crops and livestock products","204","Benin","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","2177783","E","Estimated value"
"QCL","Crops and livestock products","204","Benin","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","2203105","E","Estimated value"
"QCL","Crops and livestock products","064","Bhutan","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","103293","E","Estimated value"
"QCL","Crops and livestock products","064","Bhutan","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","103298","E","Estimated value"
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","2912082","E","Estimated value"
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","2914459","E","Estimated value"
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","1666131","E","Estimated value"
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","1944178","E","Estimated value"
"QCL","Crops and livestock products","072","Botswana","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","48548","E","Estimated value"
"QCL","Crops and livestock products","072","Botswana","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","162158","E","Estimated value"
"QCL","Crops and livestock products","076","Brazil","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","121202845","E","Estimated value"
"QCL","Crops and livestock products","076","Brazil","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","125568280","E","Estimated value"
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","1500","E","Estimated value"
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","2511","E","Estimated value"
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","11130990","E","Estimated value"
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","8598290","E","Estimated value"
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","4939630","E","Estimated value"
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","5122798","E","Estimated value"
"QCL","Crops and livestock products","108","Burundi","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","546812","E","Estimated value"
"QCL","Crops and livestock products","108","Burundi","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","466067","E","Estimated value"
"QCL","Crops and livestock products","132","Cabo Verde","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","640","E","Estimated value"
"QCL","Crops and livestock products","132","Cabo Verde","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","432","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","11781000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","11910000","E","Estimated value"
"QCL","Crops and livestock products","120","Cameroon","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","3718722","E","Estimated value"
"QCL","Crops and livestock products","120","Cameroon","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","3733173","E","Estimated value"
"QCL","Crops and livestock products","124","Canada","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","61473900","E","Estimated value"
"QCL","Crops and livestock products","124","Canada","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","65013700","E","Estimated value"
"QCL","Crops and livestock products","140","Central African Republic","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","140211","E","Estimated value"
"QCL","Crops and livestock products","140","Central African Republic","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","136095","E","Estimated value"
"QCL","Crops and livestock products","148","Chad","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","2925292","E","Estimated value"
"QCL","Crops and livestock products","148","Chad","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","2882262","E","Estimated value"
"QCL","Crops and livestock products","152","Chile","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","3294526","E","Estimated value"
"QCL","Crops and livestock products","152","Chile","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","2759792","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","614772460","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","617482978","E","Estimated value"
"QCL","Crops and livestock products","344","China, Hong Kong SAR","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","0","E","Estimated value"
"QCL","Crops and livestock products","344","China, Hong Kong SAR","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","0","E","Estimated value"
"QCL","Crops and livestock products","156","China, mainland","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","612794486","E","Estimated value"
"QCL","Crops and livestock products","156","China, mainland","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","615518145","E","Estimated value"
"QCL","Crops and livestock products","158","China, Taiwan Province of","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","1977974","E","Estimated value"
"QCL","Crops and livestock products","158","China, Taiwan Province of","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","1964833","E","Estimated value"
"QCL","Crops and livestock products","170","Colombia","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","4434081","E","Estimated value"
"QCL","Crops and livestock products","170","Colombia","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","4925126","E","Estimated value"
"QCL","Crops and livestock products","174","Comoros","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","36929","E","Estimated value"
