Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","004","Afghanistan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","18904.490263","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","15400.237155","X","Figure from international organizations",""
"MK","Macro Indicators","012","Algeria","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","171158.234285","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","3155.149348","X","Figure from international organizations",""
"MK","Macro Indicators","024","Angola","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","89417.18912","X","Figure from international organizations",""
"MK","Macro Indicators","660","Anguilla","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","376.72963","X","Figure from international organizations",""
"MK","Macro Indicators","028","Antigua and Barbuda","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1687.533333","X","Figure from international organizations",""
"MK","Macro Indicators","032","Argentina","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","445445.254556","X","Figure from international organizations",""
"MK","Macro Indicators","051","Armenia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","13619.290546","X","Figure from international organizations",""
"MK","Macro Indicators","533","Aruba","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","3310.2045","X","Figure from international organizations",""
"MK","Macro Indicators","036","Australia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1380207.832899","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","445011.872704","X","Figure from international organizations",""
"MK","Macro Indicators","031","Azerbaijan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","48174.235294","X","Figure from international organizations",""
"MK","Macro Indicators","044","Bahamas","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","13164.429143","X","Figure from international organizations",""
"MK","Macro Indicators","048","Bahrain","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","38473.717598","X","Figure from international organizations",""
"MK","Macro Indicators","050","Bangladesh","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","301051.101806","X","Figure from international organizations",""
"MK","Macro Indicators","052","Barbados","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","5297.95","X","Figure from international organizations",""
"MK","Macro Indicators","112","Belarus","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","64410.169473","X","Figure from international organizations",""
"MK","Macro Indicators","056","Belgium","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","535288.71524","X","Figure from international organizations",""
"MK","Macro Indicators","084","Belize","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1945.250235","X","Figure from international organizations",""
"MK","Macro Indicators","204","Benin","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","14391.686309","X","Figure from international organizations",""
"MK","Macro Indicators","060","Bermuda","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","7484.113","X","Figure from international organizations",""
"MK","Macro Indicators","064","Bhutan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","2530.559003","X","Figure from international organizations",""
"MK","Macro Indicators","068","Bolivia (Plurinational State of)","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","40895.322844","X","Figure from international organizations",""
"MK","Macro Indicators","070","Bosnia and Herzegovina","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","20202.636114","X","Figure from international organizations",""
"MK","Macro Indicators","072","Botswana","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","18362.405202","X","Figure from international organizations",""
"MK","Macro Indicators","076","Brazil","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1886014.572498","X","Figure from international organizations",""
"MK","Macro Indicators","092","British Virgin Islands","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1438.842891","X","Figure from international organizations",""
"MK","Macro Indicators","096","Brunei Darussalam","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","13469.240146","X","Figure from international organizations",""
"MK","Macro Indicators","100","Bulgaria","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","68913.754204","X","Figure from international organizations",""
"MK","Macro Indicators","854","Burkina Faso","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","15990.80321","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","3368.533752","X","Figure from international organizations",""
