Area,Percentage Insecurity,Import(Tonnes),Export(Tonnes),Production(Tonnes),Population(1000persons),GDP(Million US$),Production per person(kg),Net Import per person(kg),GDP per person(k US$),PD standard,NI standard,GDP standard,,Observation,Predicted Y,Residuals,,,,,,,,,,
Afghanistan,19.8,682433,12939,5583461,37769.5,18904.49,147.8298892,17.72578403,0.500522644,-0.54455,0.070795,-0.27347086,,1,12.4286,7.371395,,Regression Statistics,,,,,,,,
Albania,7.5,356140,18,666065,2873.883,15400.24,231.7648283,123.9166661,5.358687184,-0.3629,0.312289,-0.259974,,2,11.13037,-3.63037,,Multiple R,0.381126,,,,,,,
Algeria,6.1,11385668,328,5633586,42705.37,171158.2,131.9175083,266.602069,4.007884723,-0.57899,0.636778,-0.26372677,,3,11.80153,-5.70153,,R Square,0.145257,,,,,,,
Angola,26.9,828554,1978,2920433,32353.59,89417.19,90.26611884,25.54820037,2.763748629,-0.66913,0.088584,-0.26718321,,4,13.04555,13.85445,,Adjusted R Square,0.122764,,,,,,,
Armenia,1.1,349661,18,195063,2820.602,1380208,69.1565134,123.960417,489.331001,-0.71481,0.312389,1.084588899,,5,11.64332,-10.5433,,Standard Error,11.51082,,,,,,,
Australia,2.6,713774,12774883,29236374,25357.17,445011.9,1152.982529,-475.6488599,17.54974628,1.63075,-1.05122,-0.22610502,,6,2.644201,-0.0442,,Observations,118,,,,,,,
Austria,0.9,2302412,1179664,5399310,8879.94,48174.24,608.0345137,126.4364399,5.425063683,0.451402,0.31802,-0.25978959,,7,6.885568,-5.98557,,,,,,,,,,
Azerbaijan,<0.5,1718212,17661,3416765,10232.75,301051.1,333.9048643,166.1870954,29.42035132,-0.14186,0.408419,-0.19312633,,8,9.779535,-9.27954,,ANOVA,,,,,,,,
Bangladesh,10.5,5949098,742,59182139,165516.2,535288.7,357.5610061,35.93821028,3.234056243,-0.09066,0.112212,-0.26587661,,9,10.00142,0.498584,,,df,SS,MS,F,Significance F,,,
Belgium,1,8667543,12058,2814390,11510.57,1945.25,244.5048334,751.9597205,0.168996844,-0.33533,1.740558,-0.2743919,,10,8.990552,-7.99055,,Regression,3,2566.964,855.6547,6.457819,0.000446,,,
Belize,6,15446,1416143,85114,389.095,14391.69,218.7486347,-3599.884347,36.98759943,-0.39107,-8.15622,-0.17210314,,11,23.11155,-17.1115,,Residual,114,15104.89,132.499,,,,,
Benin,13.8,1561294,7806,2177783,12290.44,20202.64,177.1932494,126.3980785,1.643768653,-0.481,0.317932,-0.27029471,,12,11.74698,2.053022,,Total,117,17671.85,,,,,,
Bosnia and Herzegovina,2,547600,63096,1666131,3360.711,18362.41,495.7674135,144.1671123,5.463846787,0.208439,0.358342,-0.25968184,,13,8.092762,-6.09276,,,,,,,,,,
